,isbn,Title,author,last,first,wikiPage
0,9780307777812,Theodore Rex,Edmund Morris,Morris,Edmund,<WikipediaPage 'Edmund Morris (writer)'>
1,1090353472,Oedipus Rex Or Oedipus the King: (annotated) (Worldwide Classics),Sophocles Sophocles,Sophocles,Sophocles,<WikipediaPage 'Sophocles'>
2,9780307777829,The Rise of Theodore Roosevelt,Edmund Morris,Morris,Edmund,<WikipediaPage 'Edmund Morris (writer)'>
3,9780812967883,The Scientists,John Gribbin,Gribbin,John,<WikipediaPage 'John Gribbin'>
4,9781135564001,"A History of the Life Sciences, Revised and Expanded",Lois Magner,Magner,Lois,<WikipediaPage 'Ligature (medicine)'>
5,9781847656780,The Art Of Innovation,Tom Kelley,Kelley,Tom,<WikipediaPage 'Tom Kelley (photographer)'>
6,9781410347596,"A Study Guide for Margaret Atwood's ""Half Hanged Mary""","Gale, Learning",Learning,"Gale,",<WikipediaPage 'Gale (publisher)'>
7,9780143126393,The Shadow of the Wind,Carlos Zafon,Zafon,Carlos,<WikipediaPage 'Carlos Ruiz Zafón'>
8,0190974281,The Book and the Sword,Louis Cha,Cha,Louis,<WikipediaPage 'Jin Yong'>
9,142991551X,The Knight,Gene Wolfe,Wolfe,Gene,<WikipediaPage 'Gene Wolfe'>
10,9781429925877,Soldier of Sidon,Gene Wolfe,Wolfe,Gene,<WikipediaPage 'Gene Wolfe'>
11,9781429961325,The Right Stuff,Tom Wolfe,Wolfe,Tom,<WikipediaPage 'Tom Wolfe'>
12,075286663X,The Best American Mystery Stories 4,Michael Connelly,Connelly,Michael,NaN
13,9781512462913,Day and Night,Robin Nelson,Nelson,Robin,<WikipediaPage 'Robin (character)'>
14,9780817357849,Active Romanticism,Julie Carr,Carr,Julie,<WikipediaPage 'Julie Carr'>
15,1554885833,No Cherubs for Melanie,James Hawkins,Hawkins,James,NaN
16,039307000X,The Second Blush: Poems,Molly Peacock,Peacock,Molly,<WikipediaPage 'Molly Peacock'>
17,9781780334547,Street of the Five Moons,Elizabeth Peters,Peters,Elizabeth,NaN
18,9781429978842,Stand on Zanzibar,John Brunner,Brunner,John,<WikipediaPage 'John Brunner (novelist)'>
19,0345467175,The Shockwave Riders,John Brunner,Brunner,John,<WikipediaPage 'John Brunner (novelist)'>
20,9780781785891,Brunner & Suddarth's Textbook of Medical-surgical Nursing,Suzanne Smeltzer,Smeltzer,Suzanne,<WikipediaPage 'Fecal vomiting'>
21,9780252094514,John Brunner,Jad Smith,Smith,Jad,<WikipediaPage 'The Deceivers (Bester novel)'>
22,0099377705,The Sheep Look Up,John Brunner,Brunner,John,<WikipediaPage 'John Brunner (novelist)'>
23,UOM:39015013282846,Entry to Elsewhen,John Brunner,Brunner,John,<WikipediaPage 'John Brunner (novelist)'>
24,9781497622326,The Crucible of Time,John Brunner,Brunner,John,<WikipediaPage 'John Brunner (novelist)'>
25,9780252094514,John Brunner,Jad Smith,Smith,Jad,<WikipediaPage 'The Deceivers (Bester novel)'>
26,STANFORD:36105119506231,The Life Insurance Industry,United Judiciary,Judiciary,United,<WikipediaPage 'United States Senate Committee on the Judiciary'>
27,9780575101692,Manshape,John Brunner,Brunner,John,<WikipediaPage 'John Brunner (novelist)'>
28,9781466884472,Modern Classic Short Novels Of Science Fiction,Gardner Dozois,Dozois,Gardner,<WikipediaPage 'Gardner Dozois'>
29,9781780337234,The Mammoth Book of Golden Age,Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
30,9780575126688,Unearthly Neighbors,Chad Oliver,Oliver,Chad,<WikipediaPage 'Chad Oliver'>
31,9780575126541,The Shores of Another Sea,Chad Oliver,Oliver,Chad,<WikipediaPage 'Chad Oliver'>
32,UOM:39015031299426,"Men, Martians, and Machines",Eric Russell,Russell,Eric,<WikipediaPage 'Eric Frank Russell'>
33,9780143039143,World of Wonders,Robertson Davies,Davies,Robertson,<WikipediaPage 'Robertson Davies'>
34,9781571319593,World of Wonders,Aimee Nezhukumatathil,Nezhukumatathil,Aimee,<WikipediaPage 'Aimee Nezhukumatathil'>
35,0892818786,Walking the World in Wonder,Ellen Hopman,Hopman,Ellen,<WikipediaPage 'Ellen Evert Hopman'>
36,9781571319593,World of Wonders,Aimee Nezhukumatathil,Nezhukumatathil,Aimee,<WikipediaPage 'Aimee Nezhukumatathil'>
37,8177223917,Comdex Computer Course Kit Xp Ed.(W/Cd),Vikas Gupta,Gupta,Vikas,<WikipediaPage 'Vikas Gupta'>
38,OXFORD:600050007,"The London encyclopaedia, or, Universal dictionary of science, art, literature, and practical mechanics, by the orig. ed. of the Encyclopaedia metropolitana [T. Curtis].",Thomas Islington),Islington),Thomas,<WikipediaPage 'Islington'>
39,9781466861329,The Wild Shore,Kim Robinson,Robinson,Kim,<WikipediaPage 'Kim Stanley Robinson'>
40,9780307571854,Antarctica,Kim Robinson,Robinson,Kim,<WikipediaPage 'Kim Stanley Robinson'>
41,9781466861329,The Wild Shore,Kim Robinson,Robinson,Kim,<WikipediaPage 'Kim Stanley Robinson'>
42,8120607724,Pre-Aryan and Pre-Dravidian in India,Sylvain Lévi,Lévi,Sylvain,<WikipediaPage 'Sylvain Lévi'>
43,9780593182925,The Gilded Edge,Catherine Prendergast,Prendergast,Catherine,<WikipediaPage 'The Elements of Style'>
44,9781466862197,The Memory of Whiteness,Kim Robinson,Robinson,Kim,<WikipediaPage 'Kim Stanley Robinson'>
45,9781401383763,Lost: Secret Identity - Novelization #2,Catherine Hapka,Hapka,Catherine,<WikipediaPage 'Georgina Bloomberg'>
46,0586217541,Miracleman,Neil Gaiman,Gaiman,Neil,<WikipediaPage 'Neil Gaiman'>
47,9780747585893,A Thousand Splendid Suns,Khaled Hosseini,Hosseini,Khaled,<WikipediaPage 'Khaled Hosseini'>
48,9781477309629,From a Limestone Ledge,John Graves,Graves,John,<WikipediaPage 'John Graves (author)'>
49,9780192581044,"Possession, Relative Title, and Ownership in English Law",Luke Rostill,Rostill,Luke,<WikipediaPage 'The Shadows'>
50,9781328467133,The Best American Nonrequired Reading 2018,Sheila Heti,Heti,Sheila,<WikipediaPage 'Sheila Heti'>
51,9781609401085,Black Like Me,John Griffin,Griffin,John,<WikipediaPage 'John Howard Griffin'>
52,9781467426046,Christ and Culture Revisited,D.A. Carson,Carson,D.A.,<WikipediaPage 'D. A. Carson'>
53,9781571317575,"Graceland, At Last",Margaret Renkl,Renkl,Margaret,<WikipediaPage 'Margaret Renkl'>
54,9781617749360,Behind the Glass,Howard Massey,Massey,Howard,<WikipediaPage 'Pop Quiz'>
55,9781250194381,The Wife and the Widow,Christian White,White,Christian,<WikipediaPage 'Christian metal'>
56,9781497685543,War Against the Mafia,Don Pendleton,Pendleton,Don,<WikipediaPage 'Don Pendleton'>
57,UVA:X004174597,Kick the Can,Jim Lehrer,Lehrer,Jim,<WikipediaPage 'Jim Lehrer'>
58,9781456611071,Strangers from a Different Shore,Professor Takaki,Takaki,Professor,<WikipediaPage 'Ronald Takaki'>
59,9781623657277,Sermon on the Fall of Rome,Jerome Ferrari,Ferrari,Jerome,<WikipediaPage 'Jérôme Ferrari'>
60,9781507210468,The Everything Keto Diet Meal Prep Cookbook,Lindsay Boyers,Boyers,Lindsay,NaN
61,0312353766,The Red Tent,Anita Diamant,Diamant,Anita,<WikipediaPage 'Anita Diamant'>
62,9780547892498,Intervention,Julian May,May,Julian,<WikipediaPage 'Julian May'>
63,9781610395700,The Age of Surveillance Capitalism,Shoshana Zuboff,Zuboff,Shoshana,<WikipediaPage 'Shoshana Zuboff'>
64,9780547892481,A Pliocene Companion,Julian May,May,Julian,<WikipediaPage 'Julian May'>
65,9780307776105,Magnificat,Julian May,May,Julian,<WikipediaPage 'Julian May'>
66,0007305249,Sagittarius Whorl,Julian May,May,Julian,<WikipediaPage 'Julian May'>
67,140466372X,Maison Ikkoku,Rumiko Takahashi,Takahashi,Rumiko,<WikipediaPage 'Rumiko Takahashi'>
68,IND:30000081072450,"Maison Ikkoku, Vol. 8 (1st Edition)",Rumiko Takahashi,Takahashi,Rumiko,<WikipediaPage 'Rumiko Takahashi'>
69,UOM:39015056164448,Afterglow,Pauline Kael,Kael,Pauline,<WikipediaPage 'Pauline Kael'>
70,9781250296436,Hit Me With Your Best Scot,Suzanne Enoch,Enoch,Suzanne,<WikipediaPage 'Suzanne Enoch'>
71,9781732191136,Flirting with Forever,Kendall Ryan,Ryan,Kendall,NaN
72,9781732191136,Flirting with Forever,Kendall Ryan,Ryan,Kendall,NaN
73,9781598847017,Read On-- Biography,Rick Roche,Roche,Rick,<WikipediaPage 'Roche Bros.'>
74,9780446196604,The Serial Killers Club,Jeff Povey,Povey,Jeff,<WikipediaPage 'Jeff Povey'>
75,9783110499773,Prognostication in the Medieval World,Matthias Heiduk,Heiduk,Matthias,<WikipediaPage 'Lotto–Kern Haus'>
76,STANFORD:36105113748318,List of Lights and Fog-signals on the Atlantic and Gulf Coasts of the United States,United Board,Board,United,<WikipediaPage 'United States Board on Geographic Names'>
77,9781497673663,The Outlaws of Sherwood,Robin McKinley,McKinley,Robin,<WikipediaPage 'Robin McKinley'>
78,9781497673700,Beauty,Robin McKinley,McKinley,Robin,<WikipediaPage 'Robin McKinley'>
79,0698119509,Spindle's End,Robin McKinley,McKinley,Robin,<WikipediaPage 'Robin McKinley'>
80,0156008726,The Dictionary of Imaginary Places,Alberto Manguel,Manguel,Alberto,<WikipediaPage 'Alberto Manguel'>
81,WISC:89032395246,Small is Beautiful,Ernst Schumacher,Schumacher,Ernst,<WikipediaPage 'E. F. Schumacher'>
82,9780688025939,The Hero and the Crown,Robin McKinley,McKinley,Robin,<WikipediaPage 'Robin McKinley'>
83,OCLC:18807031,Hitty,Rachel Field,Field,Rachel,<WikipediaPage 'Rachel Field'>
84,OCLC:18807031,Hitty,Rachel Field,Field,Rachel,<WikipediaPage 'Rachel Field'>
85,9798463727305,A Christmas Carol Illustrated,Charles Dickens,Dickens,Charles,<WikipediaPage 'Charles Dickens'>
86,086547186X,Moon in a Dewdrop,Dōgen Dōgen,Dōgen,Dōgen,<WikipediaPage 'Dōgen'>
87,UOM:39015029050617,Dewdrops on a Lotus Leaf,Ryōkan Ryōkan,Ryōkan,Ryōkan,<WikipediaPage 'Ryokan (inn)'>
88,9781635688962,The Protector,Kathleen Kelley,Kelley,Kathleen,<WikipediaPage 'Kathleen Robertson'>
89,MINN:30000010449993,Catalog of audiovisual productions,United Affairs),Affairs),United,<WikipediaPage 'Bureau of Indian Affairs'>
90,9780786490615,American Popular Song Lyricists,Michael Whorf,Whorf,Michael,<WikipediaPage 'Mike Whorf'>
91,9781416538028,Santa Cruise,Mary Clark,Clark,Mary,<WikipediaPage 'Mary Higgins Clark'>
92,9781913682422,No Place Like Home,Rebecca Muddiman,Muddiman,Rebecca,<WikipediaPage 'Gibbon'>
93,9781443148368,Deck the Halls,Helaine Becker,Becker,Helaine,NaN
94,1894384091,On the Street Where You Live,Danda Humphreys,Humphreys,Danda,<WikipediaPage 'Victoria Conservatory of Music'>
95,9780671000424,Silent Night,Mary Clark,Clark,Mary,<WikipediaPage 'Mary Higgins Clark'>
96,9780731808878,Nighttime Is My Time,Mary Clark,Clark,Mary,<WikipediaPage 'Mary Higgins Clark'>
97,1878972189,Watchfiends & Rack Screams,Antonin Artaud,Artaud,Antonin,<WikipediaPage 'Antonin Artaud'>
98,9781418577353,Inside My Heart,Robin McGraw,McGraw,Robin,<WikipediaPage 'Phil McGraw'>
99,9780385674010,Lord John and the Brotherhood of the Blade,Diana Gabaldon,Gabaldon,Diana,<WikipediaPage 'Diana Gabaldon'>
100,UOM:39015054132306,Andrew Carnegie and the Rise of Big Business,Harold Livesay,Livesay,Harold,NaN
101,0671472127,How to Develop Self-confidence and Influence People by Public Speaking,Dale Carnegie,Carnegie,Dale,<WikipediaPage 'Dale Carnegie'>
102,0451530381,The Autobiography of Andrew Carnegie and the Gospel of Wealth,Andrew Carnegie,Carnegie,Andrew,<WikipediaPage 'Andrew Carnegie'>
103,9780593310854,Love in the Time of Cholera (Illustrated Edition),Gabriel Márquez,Márquez,Gabriel,<WikipediaPage 'Gabriel García Márquez'>
104,9780061053665,My Soul to Keep,Tananarive Due,Due,Tananarive,<WikipediaPage 'Tananarive Due'>
105,1416510478,Joplin's Ghost,Tananarive Due,Due,Tananarive,<WikipediaPage 'Tananarive Due'>
106,9781439121924,The Living Blood,Tananarive Due,Due,Tananarive,<WikipediaPage 'Tananarive Due'>
107,9780743296168,The Good House,Tananarive Due,Due,Tananarive,<WikipediaPage 'Tananarive Due'>
108,0312858868,The Prestige,Christopher Priest,Priest,Christopher,<WikipediaPage 'Christopher Priest (novelist)'>
109,0786714689,"The Mammoth Book of Storms, Shipwrecks and Sea Disasters",Richard Lawrence,Lawrence,Richard,NaN
110,0760748845,The Stones of Summer,Dow Mossman,Mossman,Dow,<WikipediaPage 'Dow Mossman'>
111,9780316539562,The Summer House,James Patterson,Patterson,James,<WikipediaPage 'James Patterson'>
112,0756671752,Baby Faces!,Dawn Sirett,Sirett,Dawn,<WikipediaPage 'Booktrust Early Years Award'>
113,0582329183,The Handmaid's Tale,Coral Howells,Howells,Coral,<WikipediaPage 'Coral Gables Senior High School'>
114,UCSC:32106017284982,Science Notebooks,Brian Campbell,Campbell,Brian,<WikipediaPage 'Brian Campbell'>
115,1578066107,Interviews with John Kenneth Galbraith,John Galbraith,Galbraith,John,<WikipediaPage 'John Kenneth Galbraith'>
116,9780547343983,The Economics of Innocent Fraud,John Galbraith,Galbraith,John,<WikipediaPage 'John Kenneth Galbraith'>
117,9780132712194,"Robin Williams Design Workshop, Second Edition",Robin Williams,Williams,Robin,NaN
118,9780133966152,The Non-designer's Design Book,Robin Williams,Williams,Robin,NaN
119,9780887306297,Hard Drive,James Wallace,Wallace,James,NaN
120,0750238836,Bill Gates,Richard Wood,Wood,Richard,NaN
121,0983562865,Chicken Trek,Stephen Manes,Manes,Stephen,<WikipediaPage 'Stephen Manes'>
122,0833589598,Make Four Million Dollars by Next Thursday,Stephen Manes,Manes,Stephen,<WikipediaPage 'Stephen Manes'>
123,9781877242762,New Territory,Colin James,James,Colin,<WikipediaPage 'Colin James'>
124,0380620006,Boy Who Turned Into a TV Set,Stephen Manes,Manes,Stephen,NaN
125,9781476726939,Masters of Enterprise,H.W. Brands,Brands,H.W.,<WikipediaPage 'H. W. Brands'>
126,STANFORD:36105117254206,"American Book Publishing Record Cumulative, 1950-1977",R.R. Bibliography,Bibliography,R.R.,<WikipediaPage 'R. A. Salvatore bibliography'>
127,9781440695933,Prom Anonymous,Blake Nelson,Nelson,Blake,<WikipediaPage 'Tim Blake Nelson'>
128,9781101562741,The New Rules of High School,Blake Nelson,Nelson,Blake,<WikipediaPage 'Tim Blake Nelson'>
129,9781460705223,The Anti-Cool Girl,Rosie Waterland,Waterland,Rosie,<WikipediaPage 'Rosie Waterland'>
130,9781538115091,Online Searching,Karen Markey,Markey,Karen,<WikipediaPage 'Hedy Lamarr'>
131,9780062356352,The Exiles,Christina Kline,Kline,Christina,<WikipediaPage 'Christina Baker Kline'>
132,9780593295847,Girl A,Abigail Dean,Dean,Abigail,<WikipediaPage 'Abigail Dean'>
133,9780593115008,My Side of the Mountain,Jean George,George,Jean,<WikipediaPage 'Jean Craighead George'>
134,9780486114972,The Theban Plays,Sophocles Sophocles,Sophocles,Sophocles,<WikipediaPage 'Sophocles'>
135,9780191624919,The Jungle,Upton Sinclair,Sinclair,Upton,<WikipediaPage 'Upton Sinclair'>
136,HARVARD:32044021129028,The Jungle Book,Rudyard Kipling,Kipling,Rudyard,<WikipediaPage 'Rudyard Kipling'>
137,9780312155506,Human Croquet,Kate Atkinson,Atkinson,Kate,<WikipediaPage 'Kate Atkinson (writer)'>
138,9781101042656,The Key to Rebecca,Ken Follett,Follett,Ken,<WikipediaPage 'Ken Follett'>
139,9781118877326,Paper Money Collapse,Detlev Schlichter,Schlichter,Detlev,<WikipediaPage 'Ernst Jünger'>
140,9780425245712,Skeleton Coast,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
141,9781451606515,Dragon,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
142,0141021616,Dark Watch,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
143,0425204235,Black Wind,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
144,9781451621020,Cyclops,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
145,9781416516859,Deep Six,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
146,9781101205471,Polar Shift,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
147,1627152032,Vixen 03,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
148,9780399166815,The Mediterranean Caper,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
149,0399154191,The Navigator,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
150,9781101206348,Golden Buddha,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
151,0671020552,Shock Wave,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
152,0425194523,Raise the Titanic!,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
153,9781440621703,Atlantis Found (A Dirk Pitt Novel),Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
154,9780738745510,La Santa Muerte,Tomás Prower,Prower,Tomás,<WikipediaPage 'Nag champa'>
155,9780425197387,Iceberg,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
156,9781101204429,Fire Ice,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
157,1442078103,Lost City,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
158,9781440674266,The Sea Hunters II,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
159,0743480694,The Sea Hunters,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
160,UOM:39015017684104,Narrative Magic in the Fiction of Isabel Allende,Patricia Hart,Hart,Patricia,<WikipediaPage 'Patricia Harty (actress)'>
161,9781439135686,Sahara,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
162,9780671026226,Clive Cussler and Dirk Pitt Revealed,Clive Cussler,Cussler,Clive,<WikipediaPage 'Clive Cussler'>
163,9780199908394,The Oxford History of the Novel in English,J. Kennedy,Kennedy,J.,<WikipediaPage 'Patrick J. Kennedy'>
164,9780307382092,The Audacity of Hope,Barack Obama,Obama,Barack,<WikipediaPage 'Barack Obama'>
165,0810957906,Love Sick,Michael Nelson,Nelson,Michael,NaN
166,UCSD:31822030931570,Goth-Icky,Michael Nelson,Nelson,Michael,<WikipediaPage 'Bridget Jones Nelson'>
167,9781588365286,Black Swan Green,David Mitchell,Mitchell,David,<WikipediaPage 'David Mitchell (comedian)'>
168,IND:30000119771925,NINCDS Index to Research Grants & Contracts,National Stroke,Stroke,National,NaN
169,1430200383,The Best Software Writing I,Avram Spolsky,Spolsky,Avram,<WikipediaPage 'Joel Spolsky'>
170,8126506156,The Database Hacker's Handbook Defending Database,David Gri,Gri,David,<WikipediaPage 'Gris'>
171,1509528954,Should Robots Replace Teachers?,Neil Selwyn,Selwyn,Neil,<WikipediaPage 'Culturally relevant teaching'>
172,0553803700,"I, Robot",Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
173,0553803700,"I, Robot",Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
174,9780307573537,"I, Asimov",Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
175,0140172130,Asimov's New Guide to Science,Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
176,9780593160084,Pebble in the Sky,Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
177,9780470534533,Against the Gods,Peter Bernstein,Bernstein,Peter,<WikipediaPage 'Peter Bernstein (guitarist)'>
178,0593160010,"The Stars, Like Dust",Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
179,9780593160084,Pebble in the Sky,Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
180,9780061802706,Gold,Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
181,OCLC:1031245830,Asimov's Guide to the Bible,Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
182,UOM:39015007040846,100 Great Fantasy Short Short Stories,Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
183,9781101157435,Rock Star Superstar,Blake Nelson,Nelson,Blake,<WikipediaPage 'Tim Blake Nelson'>
184,1426200552,The Journals of Captain John Smith,Author TBD,TBD,Author,<WikipediaPage 'Strategic Air Command'>
185,0521288843,Evolution and the Theory of Games,John Smith,Smith,John,<WikipediaPage 'John Maynard Smith'>
186,9780192862099,The Origins of Life,John Smith,Smith,John,NaN
187,UVA:X004900891,Captain John Smith,Dorothy Hoobler,Hoobler,Dorothy,<WikipediaPage 'Theodore Paleologus'>
188,9780316592253,Midnight Sun,Stephenie Meyer,Meyer,Stephenie,<WikipediaPage 'Stephenie Meyer'>
189,HARVARD:HN6GWD,Sense and Sensibility,Jane Austen,Austen,Jane,<WikipediaPage 'Jane Austen'>
190,9780671211486,Uncle Shelby'S Abz Book,Shel Silverstein,Silverstein,Shel,<WikipediaPage 'Shel Silverstein'>
191,148141593X,Who Wants a Cheap Rhinoceros?,Shel Silverstein,Silverstein,Shel,<WikipediaPage 'Shel Silverstein'>
192,1407179403,Fantastic Beasts and Where to Find Them: Cinematic Guide: Newt Scamander Do Not Feed Out,Felicity Baker,Baker,Felicity,<WikipediaPage 'Hazel Hill'>
193,9780448458724,Who is J. K. Rowling?,Pam Pollack,Pollack,Pam,<WikipediaPage 'Dexter's Laboratory'>
194,9783866492363,Qualitative Analysis and Documentary Method in International Educational Research,Ralf Bohnsack,Bohnsack,Ralf,NaN
195,9780307814289,There Are No Children Here,Alex Kotlowitz,Kotlowitz,Alex,<WikipediaPage 'Alex Kotlowitz'>
196,9780309324885,Transforming the Workforce for Children Birth Through Age 8,National Council,Council,National,NaN
197,9780415973243,The Routledge Guide to Music Technology,Thom Holmes,Holmes,Thom,<WikipediaPage 'Ashton Holmes'>
198,0393264890,The Scarlet Letter and Other Writings,Nathaniel Hawthorne,Hawthorne,Nathaniel,<WikipediaPage 'Nathaniel Hawthorne'>
199,9780440337621,The Lilac Bus,Maeve Binchy,Binchy,Maeve,<WikipediaPage 'Maeve Binchy'>
200,9781101209295,Light a Penny Candle,Maeve Binchy,Binchy,Maeve,<WikipediaPage 'Maeve Binchy'>
201,CORNELL:31924012239699,Legislative Journal,Pennsylvania. Assembly,Assembly,Pennsylvania.,<WikipediaPage 'Pennsylvania General Assembly'>
202,9780440337614,Circle of Friends,Maeve Binchy,Binchy,Maeve,<WikipediaPage 'Maeve Binchy'>
203,9781400050291,The Official Price Guide to Kiss Collectibles,Ingo Floren,Floren,Ingo,<WikipediaPage 'List of Kiss members'>
204,9780310761907,Solo,Kwame Alexander,Alexander,Kwame,<WikipediaPage 'Kwame Alexander'>
205,9781492632580,Two's Company,Jill Mansell,Mansell,Jill,<WikipediaPage 'Jill Mansell'>
206,9780375505874,Open House,Elizabeth Berg,Berg,Elizabeth,<WikipediaPage 'Elizabeth Berg (author)'>
207,9780748133130,The Dream Kingdom,Cynthia Harrod-Eagles,Harrod-Eagles,Cynthia,<WikipediaPage 'Cynthia Harrod-Eagles'>
208,9781442443990,Falling for You,Lisa Schroeder,Schroeder,Lisa,NaN
209,1402218346,Millie's Fling,Jill Mansell,Mansell,Jill,<WikipediaPage 'Jill Mansell'>
210,1492670138,Sheer Mischief,Jill Mansell,Mansell,Jill,<WikipediaPage 'Jill Mansell'>
211,9781982121488,Head Over Heels,Hannah Orenstein,Orenstein,Hannah,<WikipediaPage 'L.E.J'>
212,1521106827,Billie Jean King,Dhirubhai Patel,Patel,Dhirubhai,<WikipediaPage 'Dhirubhai Naranbhai Patel'>
213,STANFORD:36105045165631,To Amend Title VII of the Housing and Urban Development Act of 1965,United Committee,Committee,United,<WikipediaPage 'United States congressional committee'>
214,9781848948174,Girl Meets Ape,Chrissie Manby,Manby,Chrissie,<WikipediaPage 'Girls' Night In'>
215,0373895399,Girls' Night in,Lauren Henderson,Henderson,Lauren,NaN
216,1853261408,Tales from Shakespeare,Charles Lamb,Lamb,Charles,<WikipediaPage 'Charles Lamb'>
217,9783656193838,Analysis and Interpretation of William Shakespeare’s “Sonnet 130”,Julia Esau,Esau,Julia,<WikipediaPage 'List of women in the Bible'>
218,0330512722,Love Poems,Carol Duffy,Duffy,Carol,<WikipediaPage 'Carol Ann Duffy'>
219,9781443828215,English Author Dictionaries (the XVIth – the XXIst cc.),Olga Karpova,Karpova,Olga,<WikipediaPage 'Olga Karpova'>
220,9781524705589,The Sonnets,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
