,isbn,Title,author,last,first,wikiPage
221,9781905570263,Shakespeare's Secret Booke,David Ovason,Ovason,David,<WikipediaPage 'Judicial astrology'>
222,019818431X,The Complete Sonnets and Poems,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
223,UOM:39076001914402,The Arden Shakespeare Complete Works,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
224,9781101663776,The Cat Who Knew Shakespeare,Lilian Braun,Braun,Lilian,<WikipediaPage 'Lilian Jackson Braun'>
225,9781101200032,The Shakespeare Stealer,Gary Blackwood,Blackwood,Gary,<WikipediaPage 'Gary Blackwood (author)'>
226,HARVARD:HN6G1C,King Richard III,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
227,9798706762650,"Henry VI, Part 3 Illustrated",William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
228,9781588367815,Soul of the Age,Jonathan Bate,Bate,Jonathan,<WikipediaPage 'Jonathan Bate'>
229,9781503600102,Beyond the Euromaidan,Henry Hale,Hale,Henry,<WikipediaPage 'Henry S. Hale'>
230,9780857127105,Jimi Hendrix: The Complete Guide to His Music,Peter Doggett,Doggett,Peter,<WikipediaPage 'Peter Doggett'>
231,0312198698,The Encyclopedia of Fantasy,John Clute,Clute,John,<WikipediaPage 'John Clute'>
232,9781466820760,Glass Soup,Jonathan Carroll,Carroll,Jonathan,<WikipediaPage 'Jonathan Carroll'>
233,9780312700898,The Land of Laughs,Jonathan Carroll,Carroll,Jonathan,<WikipediaPage 'Jonathan Carroll'>
234,9780765311863,Sleeping in Flame,Jonathan Carroll,Carroll,Jonathan,<WikipediaPage 'Jonathan Carroll'>
235,9780765311863,Sleeping in Flame,Jonathan Carroll,Carroll,Jonathan,<WikipediaPage 'Jonathan Carroll'>
236,9780061793066,"To Sir Phillip, With Love",Julia Quinn,Quinn,Julia,<WikipediaPage 'Julia Quinn'>
237,9781429904636,Baby Proof,Emily Giffin,Giffin,Emily,<WikipediaPage 'Emily Giffin'>
238,1250011868,Something Borrowed,Emily Giffin,Giffin,Emily,<WikipediaPage 'Emily Giffin'>
239,1250011868,Something Borrowed,Emily Giffin,Giffin,Emily,<WikipediaPage 'Emily Giffin'>
240,9781338349078,P.S. Longer Letter Later,Paula Danziger,Danziger,Paula,<WikipediaPage 'Paula Danziger'>
241,9781535934510,"CSB Ultrathin Bible, Espresso/Black Leathertouch Indexed",CSB Holman,Holman,CSB,<WikipediaPage 'Holman Christian Standard Bible'>
242,9780007258925,"PS, I Love You",Cecelia Ahern,Ahern,Cecelia,<WikipediaPage 'Cecelia Ahern'>
243,9781429936828,The Christmas Hope,Donna VanLiere,VanLiere,Donna,<WikipediaPage 'Donna VanLiere'>
244,9780735211230,A Slow Fire Burning,Paula Hawkins,Hawkins,Paula,<WikipediaPage 'Paula Hawkins (author)'>
245,UOM:39015060074823,IMovie 4 and IDVD 4 for Mac OS X,Jeff Carlson,Carlson,Jeff,<WikipediaPage 'Jeff Carlson (ice hockey)'>
246,9780345539212,The Icarus Agenda,Robert Ludlum,Ludlum,Robert,<WikipediaPage 'Robert Ludlum'>
247,9780486153674,Life Is a Dream,Pedro Barca,Barca,Pedro,<WikipediaPage 'Pedro Calderón de la Barca'>
248,1557830061,Life Is a Dream and Other Spanish Classics,Eric Bentley,Bentley,Eric,<WikipediaPage 'Eric Bentley'>
249,9780486153674,Life Is a Dream,Pedro Barca,Barca,Pedro,<WikipediaPage 'Pedro Calderón de la Barca'>
250,0811833461,Stylepedia,Steven Heller,Heller,Steven,<WikipediaPage 'Steven Heller (design writer)'>
251,IND:30000090984018,"Defense Department Authorization and Oversight: Title I, procurement of aircraft",United Services,Services,United,<WikipediaPage 'United Service Organizations'>
252,0879306661,The Book of Hit Singles,Dave McAleer,McAleer,Dave,<WikipediaPage 'Dave McAleer'>
253,9780140309577,Pippi Longstocking,Astrid Lindgren,Lindgren,Astrid,<WikipediaPage 'Astrid Lindgren'>
254,9780147516688,Astrid Lindgren,Johanna Hurwitz,Hurwitz,Johanna,<WikipediaPage 'Johanna Hurwitz'>
255,9780300235135,Astrid Lindgren,Jens Andersen,Andersen,Jens,<WikipediaPage 'Hans Christian Andersen Award'>
256,0152025413,The Moffats,Eleanor Estes,Estes,Eleanor,<WikipediaPage 'Eleanor Estes'>
257,9780857902269,Arthur and the Lost Kingdoms,Alistair Moffat,Moffat,Alistair,<WikipediaPage 'Alistair Moffat'>
258,UVA:X000853964,Encyclopædia of Religion and Ethics: Picts-Sacraments,James Hastings,Hastings,James,<WikipediaPage 'James Hastings'>
259,9781839020148,"The Griffith Project, Volume 6",Paolo Usai,Usai,Paolo,<WikipediaPage 'A Classic Horror Story'>
260,0192719548,Ginger Pye,Eleanor Estes,Estes,Eleanor,<WikipediaPage 'Eleanor Estes'>
261,9780763672607,The Worst Witch,Jill Murphy,Murphy,Jill,<WikipediaPage 'Jill Murphy'>
262,9780547540450,The Hundred Dresses,Eleanor Estes,Estes,Eleanor,<WikipediaPage 'Eleanor Estes'>
263,9780525581512,Theater Shoes,Noel Streatfeild,Streatfeild,Noel,<WikipediaPage 'Noel Streatfeild'>
264,OCLC:156791298,Gemma Alone,Noel Streatfeild,Streatfeild,Noel,<WikipediaPage 'Noel Streatfeild'>
265,1014951577,"The Caine Mutiny Court-martial, a Play",Herman Wouk,Wouk,Herman,<WikipediaPage 'Herman Wouk'>
266,9781471109256,Band Of Brothers,Stephen Ambrose,Ambrose,Stephen,<WikipediaPage 'Stephen E. Ambrose'>
267,0316294527,Midnight Riders,Scott Freeman,Freeman,Scott,<WikipediaPage 'Scott Freeman (voice actor)'>
268,0810997568,Babar's World Tour,Laurent Brunhoff,Brunhoff,Laurent,<WikipediaPage 'Laurent de Brunhoff'>
269,9780307405951,The Third Angel,Alice Hoffman,Hoffman,Alice,<WikipediaPage 'Alice Hoffman'>
270,9780375822636,The Little Fire Engine,Lois Lenski,Lenski,Lois,<WikipediaPage 'Lois Lenski'>
271,0801883946,"Right Stuff, Wrong Sex",Margaret Weitekamp,Weitekamp,Margaret,<WikipediaPage 'USS Enterprise (NCC-1701)'>
272,9780253112842,The Prayers and Tears of Jacques Derrida,John Caputo,Caputo,John,<WikipediaPage 'John D. Caputo'>
273,9781479457212,For Whom the Bell Tolls,Ernest Hemingway,Hemingway,Ernest,<WikipediaPage 'Ernest Hemingway'>
274,0822012375,CliffsNotes on Hemingway's The Sun Also Rises,Gary Carey,Carey,Gary,NaN
275,0441013597,Dune,Frank Herbert,Herbert,Frank,<WikipediaPage 'Frank Herbert'>
276,0441013597,Dune,Frank Herbert,Herbert,Frank,<WikipediaPage 'Frank Herbert'>
277,1429924810,Hunters of Dune,Brian Herbert,Herbert,Brian,<WikipediaPage 'Brian Herbert'>
278,1567317979,In Harm's Way,Doug Stanton,Stanton,Doug,<WikipediaPage 'Doug Stanton'>
279,1797883763,Harm's Way,James Bassett,Bassett,James,<WikipediaPage 'James Bassett (author)'>
280,UOM:39015034230907,Harms Way,Joel-Peter Witkin,Witkin,Joel-Peter,NaN
281,STANFORD:36105121134261,Rivers and Harbors Omnibus Bill (Title I - H.R. 9859).,United Harbors,Harbors,United,<WikipediaPage 'Harbor'>
282,9781453227534,Strawberry Girl,Lois Lenski,Lenski,Lois,<WikipediaPage 'Lois Lenski'>
283,9780061998300,Betsy-Tacy,Maud Lovelace,Lovelace,Maud,<WikipediaPage 'Maud Hart Lovelace'>
284,0816529361,After Collapse,Glenn Schwartz,Schwartz,Glenn,<WikipediaPage 'Glenn Schwartz'>
285,9780307414113,Seize the Night,Dean Koontz,Koontz,Dean,<WikipediaPage 'Dean Koontz'>
286,9781453293591,We Were Soldiers Once . . . and Young,Harold Moore,Moore,Harold,<WikipediaPage 'Hal Moore'>
287,9781453293591,We Were Soldiers Once . . . and Young,Harold Moore,Moore,Harold,<WikipediaPage 'Hal Moore'>
288,9781453293591,We Were Soldiers Once . . . and Young,Harold Moore,Moore,Harold,<WikipediaPage 'Hal Moore'>
289,9781476745855,Eisenhower,Stephen Ambrose,Ambrose,Stephen,<WikipediaPage 'Stephen E. Ambrose'>
290,STANFORD:36105037687535,The Eisenhower Presidency,Kenneth Thompson,Thompson,Kenneth,NaN
291,9780307816573,Crusade in Europe,Dwight Eisenhower,Eisenhower,Dwight,<WikipediaPage 'Dwight D. Eisenhower'>
292,9780415978729,"The Sailing Navy, 1775-1854",Paul Silverstone,Silverstone,Paul,<WikipediaPage 'Silverstone Circuit'>
293,9780743216371,Yanks,John Eisenhower,Eisenhower,John,<WikipediaPage 'John Eisenhower'>
294,IND:39000001877203,The Papers of Dwight David Eisenhower: The presidency: the middle way,Dwight Eisenhower,Eisenhower,Dwight,<WikipediaPage 'Dwight D. Eisenhower'>
295,9780759520370,"The Autobiography of Martin Luther King, Jr.",Clayborne Carson,Carson,Clayborne,<WikipediaPage 'Clayborne Carson'>
296,0230109594,"Admiral ""Bull"" Halsey",John Wukovits,Wukovits,John,<WikipediaPage 'John F. Wukovits'>
297,HARVARD:32044103137444,The Federal Statutes Annotated: have title: The federal statutes annotated; notes on the Constitution of the United States by Thomas H. Culvert; comp. under the editorial supervision of William M. McKinney,United States,States,United,<WikipediaPage 'United States'>
298,9780679732549,Shoot the Piano Player,David Goodis,Goodis,David,<WikipediaPage 'David Goodis'>
299,0822000946,CliffsNotes on Shakeapeare's Twelfth Night,J. Roberts,Roberts,J.,<WikipediaPage 'Ralph J. Roberts'>
300,BNC:1000084273,"Twelfth-night, Or What You Will",William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
301,0761143696,How to Spell Like a Champ,Barrie Trinkle,Trinkle,Barrie,<WikipediaPage 'Scripps National Spelling Bee'>
302,9781609401085,Black Like Me,John Griffin,Griffin,John,<WikipediaPage 'John Howard Griffin'>
303,9780736968881,Men Are Like Waffles--Women Are Like Spaghetti,Bill Farrel,Farrel,Bill,<WikipediaPage 'Peter Farrelly'>
304,9780812969221,As You Like It,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
305,9780812969221,As You Like It,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
306,9780812969221,As You Like It,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
307,HARVARD:32044018947523,As You Like it,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
308,9780307575371,War of the Rats,David Robbins,Robbins,David,<WikipediaPage 'David Robbins (composer)'>
309,9780061803963,Nimitz Class,Patrick Robinson,Robinson,Patrick,<WikipediaPage 'Patrick Robinson (author)'>
310,9780061829734,U.S.S. Seawolf,Patrick Robinson,Robinson,Patrick,<WikipediaPage 'Patrick Robinson (author)'>
311,9780307569028,Having a Mary Heart in a Martha World,Joanna Weaver,Weaver,Joanna,<WikipediaPage 'Joanna Weaver'>
312,9781524762858,Thirst,Scott Harrison,Harrison,Scott,<WikipediaPage 'Scott Harrison (charity founder)'>
313,9780440243069,The Gilded Web,Mary Balogh,Balogh,Mary,<WikipediaPage 'Mary Balogh'>
314,UCBK:C058607042,Resurrection,graf Tolstoy,Tolstoy,graf,<WikipediaPage 'Aleksey Nikolayevich Tolstoy'>
315,9780802197177,Cold Mountain,Charles Frazier,Frazier,Charles,<WikipediaPage 'Charles Frazier'>
316,9781844151455,Red Road From Stalingrad,Mansur Abdulin,Abdulin,Mansur,<WikipediaPage 'Mansur Abdulin'>
317,0631164472,The Levinas Reader,Sean Hand,Hand,Sean,<WikipediaPage 'Sean Connery'>
318,9781101568026,Demon Angel,Meljean Brook,Brook,Meljean,<WikipediaPage 'Meljean Brook'>
319,9780813591759,The Queer Fantasies of the American Family Sitcom,Tison Pugh,Pugh,Tison,<WikipediaPage 'In Cold Blood (film)'>
320,1585671266,Hemingway Vs. Fitzgerald,Scott Donaldson,Donaldson,Scott,<WikipediaPage 'Scott Donaldson'>
321,9780553248647,The Haj,Leon Uris,Uris,Leon,<WikipediaPage 'Leon Uris'>
322,9780316341554,A God in Ruins,Kate Atkinson,Atkinson,Kate,<WikipediaPage 'Kate Atkinson (writer)'>
323,9781543706741,The Battle Cry,Niti Majethia,Majethia,Niti,<WikipediaPage 'Chanakya (TV series)'>
324,1627159487,The Angry Hills,Leon Uris,Uris,Leon,<WikipediaPage 'Leon Uris'>
325,9781575064840,Making Sense of the Divine Name in the Book of Exodus,Austin Surls,Surls,Austin,<WikipediaPage 'James Surls'>
326,9780547420295,The Things They Carried,Tim O'Brien,O'Brien,Tim,<WikipediaPage 'Tim O'Brien (author)'>
327,UOM:39015082982649,"Dictionary Catalog of the Research Libraries of the New York Public Library, 1911-1971",New Libraries,Libraries,New,<WikipediaPage 'New York Public Library'>
328,9781407162386,The Giggler Treatment,Roddy Doyle,Doyle,Roddy,<WikipediaPage 'Roddy Doyle'>
329,UOM:39015031909602,Walden,Henry Thoreau,Thoreau,Henry,<WikipediaPage 'Henry David Thoreau'>
330,ONB:+Z219887606,Title The Works of Douglas Jerrold ; With an Introductory Memoir by His Son,Douglas Jerrold,Jerrold,Douglas,<WikipediaPage 'Douglas William Jerrold'>
331,0439305306,Rover Saves Christmas,Roddy Doyle,Doyle,Roddy,<WikipediaPage 'Roddy Doyle'>
332,9781409046486,The Snapper,Roddy Doyle,Doyle,Roddy,<WikipediaPage 'Roddy Doyle'>
333,9781349108770,"The Secret Rose, Stories by W. B. Yeats: A Variorum Edition",W.B. Yeats,Yeats,W.B.,<WikipediaPage 'W. B. Yeats'>
334,9781442277489,A Research Guide to Gothic Literature in English,Sherri Brown,Brown,Sherri,<WikipediaPage 'Sherri Saum'>
335,9781413480948,A Dracula Handbook,Elizabeth Miller,Miller,Elizabeth,<WikipediaPage 'Elizabeth Miller (academic)'>
336,9781937832223,Loopholes of Real Estate,Garrett Sutton,Sutton,Garrett,<WikipediaPage 'Garrett Sutton (author)'>
337,9781101057100,Hope Is the Thing With Feathers,Christopher Cokinos,Cokinos,Christopher,<WikipediaPage 'Christopher Cokinos'>
338,STANFORD:36105006357508,Catalog of Copyright Entries,Library Office,Office,Library,<WikipediaPage 'Library'>
339,0553270621,Winter Dreams,Stefanie Curtis,Curtis,Stefanie,<WikipediaPage 'Stef Curtis'>
340,9780571353453,Sweet Dreams,Dylan Jones,Jones,Dylan,<WikipediaPage 'Dylan Jones'>
341,9780595391295,The Trivia Book of Rock 'n' Roll Music,Jimmy Correa,Correa,Jimmy,<WikipediaPage 'Lou Correa'>
342,9780007518470,"Cecelia Ahern 2-Book Valentine Collection: PS I Love You, Where Rainbows End",Cecelia Ahern,Ahern,Cecelia,<WikipediaPage 'Cecelia Ahern'>
343,0156026988,Tales from Margaritaville,Jimmy Buffett,Buffett,Jimmy,<WikipediaPage 'Jimmy Buffett'>
344,9780449005866,A Pirate Looks at Fifty,Jimmy Buffett,Buffett,Jimmy,<WikipediaPage 'Jimmy Buffett'>
345,9780857125958,The Encyclopedia of Popular Music,Colin Larkin,Larkin,Colin,<WikipediaPage 'Colin Larkin'>
346,9780553375268,The Dog Who Loved Too Much,Nicholas Dodman,Dodman,Nicholas,<WikipediaPage 'Animal psychopathology'>
347,9781524763183,A Promised Land,Barack Obama,Obama,Barack,<WikipediaPage 'Barack Obama'>
348,9780307795274,Black Power,Charles Hamilton,Hamilton,Charles,<WikipediaPage 'Charles V. Hamilton'>
349,9781434766632,The Heart of a Leader,Ken Blanchard,Blanchard,Ken,<WikipediaPage 'Ken Blanchard'>
350,059355938X,Mission Possible: Go Create a Life That Counts,Tim Tebow,Tebow,Tim,NaN
351,9781400314201,Lead Like Jesus,Ken Blanchard,Blanchard,Ken,<WikipediaPage 'Ken Blanchard'>
352,9781119096573,The Ultimate Algorithmic Trading System Toolbox + Website,George Pruitt,Pruitt,George,<WikipediaPage 'Pruitt Taylor Vince'>
353,1605098752,Full Steam Ahead!,Kenneth Blanchard,Blanchard,Kenneth,<WikipediaPage 'Ken Blanchard'>
354,9780307453563,The Servant,James Hunter,Hunter,James,NaN
355,9780253112248,Guide to the Euphonium Repertoire,R. Morris,Morris,R.,<WikipediaPage 'Charles R. Morris'>
356,9780385674546,A Walk in the Woods,Bill Bryson,Bryson,Bill,<WikipediaPage 'Bill Bryson'>
357,9781440838552,The Bizarre World of Reality Television,Stuart Lenig,Lenig,Stuart,<WikipediaPage 'Bête Noire (album)'>
358,9780307373625,The Life and Times of the Thunderbolt Kid,Bill Bryson,Bryson,Bill,<WikipediaPage 'Bill Bryson'>
359,IND:30000102989898,The Complete Notes,Bill Bryson,Bryson,Bill,<WikipediaPage 'Bill Bryson'>
360,9780810881983,"A Catalog of Music Written in Honor of Martin Luther King, Jr",Anthony McDonald,McDonald,Anthony,NaN
361,9789391031091,Book Title Journey to the Tenth Dimension: A Collection of Science Fictions and Thrillers,Bijetri Roy,Roy,Bijetri,NaN
362,9781101513477,Lover Unleashed,J.R. Ward,Ward,J.R.,<WikipediaPage 'Jessica Bird'>
363,0451223594,Dark Lover (Wal-Mart Edition),J. Ward,Ward,J.,<WikipediaPage 'J Ward'>
364,9781101513477,Lover Unleashed,J.R. Ward,Ward,J.R.,<WikipediaPage 'Jessica Bird'>
365,9781453227923,All Things Wise and Wonderful,James Herriot,Herriot,James,<WikipediaPage 'James Herriot'>
366,9780812985535,All Quiet on the Western Front,Erich Remarque,Remarque,Erich,<WikipediaPage 'Erich Maria Remarque'>
367,156077231X,All Quiet on the Western Front,Center Staff,Staff,Center,NaN
368,9781473577411,The Nightingale,Sam Lee,Lee,Sam,<WikipediaPage 'Sidney Lee'>
369,9781473577411,The Nightingale,Sam Lee,Lee,Sam,<WikipediaPage 'Sidney Lee'>
370,9781982537739,Whirlwind,James Clavell,Clavell,James,<WikipediaPage 'James Clavell'>
371,9781982537579,Tai-Pan,James Clavell,Clavell,James,<WikipediaPage 'James Clavell'>
372,1627150919,James Clavell's Whirlwind,James Clavell,Clavell,James,<WikipediaPage 'James Clavell'>
373,9780804151429,Alaska,James Michener,Michener,James,<WikipediaPage 'James A. Michener'>
374,0749311916,The Drifters,James Michener,Michener,James,<WikipediaPage 'James A. Michener'>
375,9781612625027,Sayonara Zetsubou-Sensei,Koji Kumeta,Kumeta,Koji,<WikipediaPage 'Kōji Kumeta'>
376,9780812986747,The Bridge at Andau,James Michener,Michener,James,<WikipediaPage 'James A. Michener'>
377,UCR:31210003620026,The Caribbean Basin Policy,United Affairs,Affairs,United,<WikipediaPage 'Bureau of Indian Affairs'>
378,9780316097765,War and Remembrance,Herman Wouk,Wouk,Herman,<WikipediaPage 'Herman Wouk'>
379,9781403300119,Life in the Left Lane,Emy Thomas,Thomas,Emy,"<WikipediaPage 'The Challenge: Spies, Lies & Allies'>"
380,9780593236673,The Hope of Glory,Jon Meacham,Meacham,Jon,<WikipediaPage 'Jon Meacham'>
381,9781444779318,Youngblood Hawke,Herman Wouk,Wouk,Herman,<WikipediaPage 'Herman Wouk'>
382,UCAL:B2877341,Statistical Report,Illinois. Commission,Commission,Illinois.,<WikipediaPage 'Serve Illinois Commission'>
383,9781400079070,The Curious Incident of the Dog in the Night-Time,Mark Haddon,Haddon,Mark,<WikipediaPage 'Mark Haddon'>
384,9780374105235,A Long Way Gone,Ishmael Beah,Beah,Ishmael,<WikipediaPage 'Ishmael Beah'>
385,9781429906234,Sorrow's Anthem,Michael Koryta,Koryta,Michael,<WikipediaPage 'Michael Koryta'>
386,UCAL:B4732081,The Call of the Wild,Jack London,London,Jack,<WikipediaPage 'Jack London'>
387,9781101635537,The Sea-Wolf and Selected Stories,Jack London,London,Jack,<WikipediaPage 'Jack London'>
388,9780061734281,The Death of an Irish Consul,Bartholomew Gill,Gill,Bartholomew,<WikipediaPage 'Bartholomew Gill'>
389,UCAL:B4732081,The Call of the Wild,Jack London,London,Jack,<WikipediaPage 'Jack London'>
390,HARVARD:32044018634246,The Sea-wolf,Jack London,London,Jack,<WikipediaPage 'Jack London'>
391,0061835676,Kilo Class,Patrick Robinson,Robinson,Patrick,<WikipediaPage 'Patrick Robinson (author)'>
392,9780061806629,Barracuda 945,Patrick Robinson,Robinson,Patrick,<WikipediaPage 'Patrick Robinson (author)'>
393,9780061829734,U.S.S. Seawolf,Patrick Robinson,Robinson,Patrick,<WikipediaPage 'Patrick Robinson (author)'>
394,9780763697655,Slider,Pete Hautman,Hautman,Pete,<WikipediaPage 'Pete Hautman'>
395,9780061829734,U.S.S. Seawolf,Patrick Robinson,Robinson,Patrick,<WikipediaPage 'Patrick Robinson (author)'>
396,9780061829734,U.S.S. Seawolf,Patrick Robinson,Robinson,Patrick,<WikipediaPage 'Patrick Robinson (author)'>
397,0553505394,True Blue,Daniel Topolski,Topolski,Daniel,<WikipediaPage 'Daniel Topolski'>
398,9781430130376,A Picture Book of Anne Frank,David Adler,Adler,David,<WikipediaPage 'David A. Adler'>
399,1561376078,Anne Frank,Anne Frank,Frank,Anne,<WikipediaPage 'Anne Frank'>
400,9781565124509,Enslaved by Ducks,Bob Tarte,Tarte,Bob,<WikipediaPage 'Living Next Door to Alice'>
401,9780451495372,"Hello, My Name is Ice Cream",Dana Cree,Cree,Dana,<WikipediaPage 'Cree Summer'>
402,9781466817326,Marching Powder,Thomas McFadden,McFadden,Thomas,<WikipediaPage 'Louis Thomas McFadden'>
403,9781466817326,Marching Powder,Thomas McFadden,McFadden,Thomas,<WikipediaPage 'Louis Thomas McFadden'>
404,9781107394469,Nations and Nationalism since 1780,E. Hobsbawm,Hobsbawm,E.,<WikipediaPage 'Eric Hobsbawm'>
405,9780307426413,Interesting Times,Eric Hobsbawm,Hobsbawm,Eric,<WikipediaPage 'Eric Hobsbawm'>
406,9781503610828,Empire of Guns,Priya Satia,Satia,Priya,<WikipediaPage 'Priya Satia'>
407,9780987228338,Manifesto,Ernesto Guevara,Guevara,Ernesto,<WikipediaPage 'Che Guevara'>
408,9781662431524,When Boxing Mattered,Bo Brumble,Brumble,Bo,<WikipediaPage 'Cerberus'>
409,9781437930610,Pre-Incident Indicators of Terrorist Incidents,Brent Smith,Smith,Brent,NaN
410,0822315386,A Rhetoric of Bourgeois Revolution,William (Jr.),(Jr.),William,<WikipediaPage 'William F. Buckley Jr.'>
411,9780547546742,Winter Is the Warmest Season,Lauren Stringer,Stringer,Lauren,NaN
412,9781508151944,It's Winter,Joyce Jeffries,Jeffries,Joyce,<WikipediaPage 'Lunatics (TV series)'>
413,9781508151913,It's Winter,Joyce Jeffries,Jeffries,Joyce,<WikipediaPage 'Lunatics (TV series)'>
414,STANFORD:36105037393233,Winter Season,Toni Bentley,Bentley,Toni,<WikipediaPage 'Toni Bentley'>
415,9781603848800,Twilight of the Idols,Friedrich Nietzsche,Nietzsche,Friedrich,<WikipediaPage 'Friedrich Nietzsche'>
416,9781136067976,Practical DV Filmmaking,Russell Evans,Evans,Russell,NaN
417,CORNELL:31924073965521,D.v.,Diana Vreeland,Vreeland,Diana,<WikipediaPage 'Diana Vreeland'>
418,9781944960162,Financial Market History: Reflections on the Past for Investors Today,David Chambers,Chambers,David,NaN
419,9780199880843,Brown v. Board of Education,James Patterson,Patterson,James,<WikipediaPage 'James Patterson'>
420,UOM:39015082147102,The Life of King Henry the Fifth,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
421,1859843301,Hegemony and Socialist Strategy,Ernesto Laclau,Laclau,Ernesto,<WikipediaPage 'Ernesto Laclau'>
422,9781788731331,On Populist Reason,Ernesto Laclau,Laclau,Ernesto,<WikipediaPage 'Ernesto Laclau'>
423,185984278X,"Contingency, Hegemony, Universality",Judith Butler,Butler,Judith,<WikipediaPage 'Judith Butler'>
424,1948220008,The Meaning of Life,Nathanael Novosel,Novosel,Nathanael,NaN
425,9780470765951,Sweet Violence,Terry Eagleton,Eagleton,Terry,<WikipediaPage 'Terry Eagleton'>
426,9781118724927,The English Novel,Terry Eagleton,Eagleton,Terry,<WikipediaPage 'Terry Eagleton'>
427,0596001452,MySQL Cookbook,Paul DuBois,DuBois,Paul,<WikipediaPage 'W. E. B. Du Bois'>
428,9780552152167,Not Without My Daughter,Betty Mahmoody,Mahmoody,Betty,<WikipediaPage 'Betty Mahmoody'>
429,9780061958434,The Girls of Lighthouse Lane #4,Thomas Kinkade,Kinkade,Thomas,NaN
430,9780061958427,The Girls of Lighthouse Lane #3,Thomas Kinkade,Kinkade,Thomas,NaN
431,0470875534,"Good Kids, Tough Choices",Rushworth Kidder,Kidder,Rushworth,<WikipediaPage 'Rushworth Kidder'>
432,9780062262684,Creating a Life Worth Living,Carol Lloyd,Lloyd,Carol,NaN
433,9781604683813,Happy Endings,Mimi Dietrich,Dietrich,Mimi,<WikipediaPage 'Mimi Dietrich'>
434,9780230592247,Feminists Organising Against Gendered Violence,L. McMillan,McMillan,L.,<WikipediaPage 'William L. McMillan'>
435,9780525562139,Death and Other Happy Endings,Melanie Cantor,Cantor,Melanie,NaN
436,9780307793836,Trail of Tears,John Ehle,Ehle,John,<WikipediaPage 'John Ehle'>
437,9780307793836,Trail of Tears,John Ehle,Ehle,John,<WikipediaPage 'John Ehle'>
